x,velocity_cm_s
-4.263337396581683869e+00,6.591008974681837174e+01
-4.259498628948404253e+00,6.418899870138609742e+01
-4.255659861315124637e+00,6.248924496674864315e+01
-4.251821093681844133e+00,6.081230303539865645e+01
-4.247982326048564516e+00,5.915964739982877063e+01
-4.244143558415284900e+00,5.753275255253169007e+01
-4.240304790782005284e+00,5.593309298600004809e+01
-4.236466023148725668e+00,5.436214319272653483e+01
-4.232627255515446052e+00,5.282137766520378364e+01
-4.228788487882166436e+00,5.131227089592445623e+01
-4.224949720248886820e+00,4.983629737738122856e+01
-4.221110952615607204e+00,4.839493160206674816e+01
-4.217272184982327587e+00,4.698964806247369097e+01
-4.213433417349047971e+00,4.562192125109470453e+01
-4.209594649715768355e+00,4.429322566042245057e+01
-4.205755882082488739e+00,4.300503578294959084e+01
-4.201917114449209123e+00,4.175882611116880128e+01
-4.198078346815929507e+00,4.055607113757274362e+01
-4.194239579182649891e+00,3.939824535465403699e+01
-4.190400811549370275e+00,3.828682325490538574e+01
-4.186562043916090659e+00,3.722327933081356832e+01
-4.182723276282811042e+00,3.619975950676109733e+01
-4.178884508649531426e+00,3.527840493528196930e+01
-4.175045741016251810e+00,3.447206484738208587e+01
-4.171206973382972194e+00,3.379377335508898739e+01
-4.167368205749692578e+00,3.315181098355353129e+01
-4.163529438116412074e+00,3.238211431414811159e+01
-4.159690670483132457e+00,3.167248548868239766e+01
-4.155851902849852841e+00,3.101495613512257421e+01
-4.152013135216573225e+00,3.044986729239639089e+01
-4.148174367583293609e+00,2.992020165342162841e+01
-4.144335599950013993e+00,2.940930143814615860e+01
-4.140496832316734377e+00,2.894826363441437422e+01
-4.136658064683454761e+00,2.851895141400065370e+01
-4.132819297050175145e+00,2.813367785294812506e+01
-4.128980529416895529e+00,2.779050170052921942e+01
-4.125141761783615912e+00,2.743445782900226959e+01
-4.121302994150336296e+00,2.710304010956141951e+01
-4.117464226517056680e+00,2.682706820851861096e+01
-4.113625458883777064e+00,2.659228779910324647e+01
-4.109786691250497448e+00,2.638028473155733877e+01
-4.105947923617217832e+00,2.613332066281414257e+01
