x,velocity_cm_s
-5.313390313390316422e+00,5.814459072072563117e+01
-5.309829059829062281e+00,5.897798463716771522e+01
-5.306267806267809028e+00,5.902268013574356331e+01
-5.302706552706555776e+00,5.834627855143272512e+01
-5.299145299145301635e+00,5.701638121921475744e+01
-5.295584045584048383e+00,5.510058947406920993e+01
-5.292022792022795130e+00,5.266650465097564648e+01
-5.288461538461540989e+00,4.978172808491304835e+01
-5.284900284900287737e+00,4.661757796162895318e+01
-5.281339031339034484e+00,4.285989491132841067e+01
-5.277777777777780344e+00,3.875435373530392269e+01
-5.274216524216527091e+00,3.450667990322193646e+01
-5.270655270655273839e+00,3.036146115973205895e+01
-5.267094017094019698e+00,2.806315165250767052e+01
-5.263532763532766445e+00,2.524903376823324663e+01
-5.259971509971513193e+00,2.179898774786978777e+01
-5.256410256410259052e+00,1.822229962860996011e+01
-5.252849002849005799e+00,1.465213384920745909e+01
-5.249287749287752547e+00,1.054659267318297111e+01
-5.245726495726498406e+00,6.640526391128304340e+00
-5.242165242165245154e+00,3.141019293513480193e+00
-5.238603988603991013e+00,3.377719756679340435e-01
-5.235042735042737760e+00,-2.494554107374810314e+00
-5.231481481481484508e+00,-4.903743392173737448e+00
-5.227920227920230367e+00,-7.512679335103186418e+00
-5.224358974358977115e+00,-8.298349523749948276e+00
-5.220797720797723862e+00,-7.343370262973465401e+00
-5.217236467236469721e+00,-4.535231190234966903e+00
-5.213675213675216469e+00,-2.679081972504931741e+00
-5.210113960113963216e+00,-4.829557897119656218e-01
-5.206552706552709076e+00,1.916721749461686386e+00
-5.202991452991455823e+00,4.419669669709620052e+00
-5.199430199430202570e+00,6.862829474598726165e+00
-5.195868945868948430e+00,9.083142667695980776e+00
-5.192307692307695177e+00,1.095913066915866807e+01
-5.188746438746441925e+00,1.237203254075140535e+01
-5.185185185185187784e+00,1.314574510632641591e+01
-5.181623931623934531e+00,1.316966035246993272e+01
-5.178062678062681279e+00,1.231740794444631604e+01
-5.174501424501427138e+00,1.240111130594861777e+01
-5.170940170940173886e+00,1.239241485280554400e+01
-5.167378917378920633e+00,1.232202793517858197e+01
-5.163817663817666492e+00,1.220217994030025466e+01
-5.160256410256413240e+00,1.208939781360068366e+01
-5.156695156695159987e+00,1.196166865806145552e+01
-5.153133903133905847e+00,1.188095470232707385e+01
-5.149572649572652594e+00,1.182877598346848913e+01
-5.146011396011398453e+00,1.178665253855659500e+01
-5.142450142450145201e+00,1.179616428418188434e+01
-5.138888888888891948e+00,1.185731122034428608e+01
-5.135327635327637807e+00,1.190731582591709525e+01
-5.131766381766384555e+00,1.200352033881262059e+01
-5.128205128205131302e+00,1.209890955922597300e+01
-5.124643874643877162e+00,1.218533056233552259e+01
-5.121082621082623909e+00,1.229349269830279923e+01
-5.117521367521370657e+00,1.241252540069896781e+01
-5.113960113960116516e+00,1.251036049855881060e+01
-5.110398860398863263e+00,1.261498970043672330e+01
-5.106837606837610011e+00,1.271282479829656609e+01
